# DTStamp_FHdata_calc_intgr_error (integration error) 2023-06-03 17:20:56 456733145 
# rtime[1], u[2], u_next[3], pos_x[4], pos_y[5], pos_r[6], deltaS[7], chordlength[8], diff_length[9], sum_deltaS[10], sum_chordlength[11], diff_sum[12], eps[13], rho[14]
 0.052  0.002462918  0.000047603 -0.366712 -0.368528  0.519895  0.009997974  0.009997974  0.000000000  0.529893408  0.529893409 -0.000000001  0.000000120475   103.736080 
 0.053  0.002510521  0.000047612 -0.373747 -0.375633  0.529893  0.009997973  0.009997974 -0.000000000  0.539891381  0.539891382 -0.000000001  0.000000120527   103.691462 
 0.054  0.002558133  0.000047621 -0.380780 -0.382738  0.539891  0.009997973  0.009997973  0.000000000  0.549889354  0.549889355 -0.000000001  0.000000120579   103.646852 
 0.055  0.002605754  0.000047630 -0.387813 -0.389845  0.549889  0.009997973  0.009997973  0.000000000  0.559887327  0.559887328 -0.000000001  0.000000120631   103.602249 
 0.056  0.002653384  0.000047639 -0.394845 -0.396952  0.559887  0.009997972  0.009997972  0.000000000  0.569885299  0.569885300 -0.000000001  0.000000120683   103.557652 
 0.057  0.002701023  0.000047648 -0.401876 -0.404059  0.569885  0.009997971  0.009997971 -0.000000001  0.579883270  0.579883271 -0.000000001  0.000000120735   103.513063 
 0.058  0.002748672  0.000047658 -0.408907 -0.411167  0.579883  0.009997971  0.009997971  0.000000000  0.589881241  0.589881242 -0.000000001  0.000000120787   103.468481 
 0.059  0.002796329  0.000047667 -0.415937 -0.418276  0.589880  0.009997970  0.009997970 -0.000000000  0.599879211  0.599879212 -0.000000001  0.000000120839   103.423907 
 0.060  0.002843996  0.000047676 -0.422967 -0.425386  0.599878  0.009997970  0.009997970  0.000000000  0.609877181  0.609877182 -0.000000001  0.000000120891   103.379339 
 0.061  0.002891672  0.000047685 -0.429995 -0.432497  0.609876  0.009997969  0.009997969  0.000000000  0.619875150  0.619875151 -0.000000001  0.000000120943   103.334779 
 0.062  0.002939357  0.000047694 -0.437023 -0.439608  0.619874  0.009997969  0.009997969  0.000000000  0.629873119  0.629873120 -0.000000001  0.000000120995   103.290225 
 0.063  0.002987051  0.000047703 -0.444051 -0.446719  0.629872  0.009997968  0.009997968 -0.000000000  0.639871086  0.639871087 -0.000000001  0.000000121047   103.245679 
 0.064  0.003034754  0.000047712 -0.451077 -0.453832  0.639870  0.009997967  0.009997967 -0.000000000  0.649869054  0.649869055 -0.000000001  0.000000121100   103.201140 
 0.065  0.003082466  0.000047722 -0.458103 -0.460945  0.649868  0.009997967  0.009997967 -0.000000000  0.659867020  0.659867022 -0.000000001  0.000000121152   103.156609 
 0.066  0.003130188  0.000047731 -0.465128 -0.468058  0.659866  0.009997966  0.009997966  0.000000000  0.669864987  0.669864988 -0.000000001  0.000000121204   103.112084 
 0.067  0.003177919  0.000047740 -0.472153 -0.475173  0.669864  0.009997966  0.009997966 -0.000000000  0.679862952  0.679862954 -0.000000001  0.000000121257   103.067567 
 0.068  0.003225658  0.000047749 -0.479177 -0.482288  0.679862  0.009997965  0.009997965 -0.000000001  0.689860917  0.689860919 -0.000000002  0.000000121309   103.023057 
